id,responded_at,week_number,experience_rating,reason
65638,2018-09-23 09:47:57 UTC,1,3,""
65852,2018-09-23 19:20:42 UTC,1,3,"the content is comprehensible - and members appear all at a similar ability; we are holding each others' hands so the chat is reasuring rather than the stronger pulling the weaker, so far, anyway. It may change!"
66219,2018-09-24 11:10:24 UTC,2,3,So far the course has expanded my knowledge about Cyber Security.
66971,2018-09-25 18:03:02 UTC,1,3,Very interesting and helpful week.
67022,2018-09-25 20:10:27 UTC,2,3,"A great insight into so many aspects - I went and did a lot of checking of my own accounts, etc. And picked up many good hints and tips on how to improve my own security."
67229,2018-09-26 10:10:37 UTC,2,3,I've had a lot of worries answered with pragmatic solutions. We tend to overcome our reservations by shear pressure to 'do the deal' and hope the platform is genuine and secure - not a sensible idea. 
67304,2018-09-26 12:36:10 UTC,2,2,""
67374,2018-09-26 15:14:58 UTC,1,2,""
67690,2018-09-27 11:34:39 UTC,1,2,I'm expecting more technical information
67770,2018-09-27 15:09:52 UTC,1,3,""
67980,2018-09-28 06:25:55 UTC,2,3,Very practical and useful advice to take up an implement very easily. Thanks
68029,2018-09-28 09:38:51 UTC,1,2,I already knew much of it
68169,2018-09-28 16:01:03 UTC,1,1,"a lot of external references, things to read, good ideas for improving your security!"
68461,2018-09-29 16:03:46 UTC,2,3,""
68885,2018-09-30 19:59:58 UTC,2,3,""
69348,2018-10-01 16:28:27 UTC,2,3,""
69583,2018-10-02 04:56:35 UTC,1,3,""
69715,2018-10-02 11:21:20 UTC,2,2,Expected much more technical information
69885,2018-10-02 17:55:52 UTC,2,3,""
70109,2018-10-03 09:24:58 UTC,1,3,"I really enjoy the course
And how to stay safe online"
70143,2018-10-03 10:23:35 UTC,2,3,Got very useful information which I will use to protect myself.
70182,2018-10-03 11:52:39 UTC,1,3,8\10
70304,2018-10-03 16:16:35 UTC,2,3,I like the practical information on ways to improve online security.
70700,2018-10-04 14:57:36 UTC,2,3,""
71001,2018-10-05 09:26:32 UTC,2,1,DEAD TING
71645,2018-10-07 02:46:04 UTC,2,3,""
71911,2018-10-07 19:56:48 UTC,2,1,""
72155,2018-10-08 10:54:45 UTC,1,3,I am so happy today because I can learn something valuable to me and my research for free from U.K....yeah...love from me in MALAYSIA
73304,2018-10-10 14:06:48 UTC,2,3,The course is very informative and easy to follow. It's been helping me a lot. Thanks! :)
73609,2018-10-11 08:33:59 UTC,2,3,"i like the course very much but i hated the course fees for master degree at Newcastle University as it look like discrimination against foreigner like me..how can UK citizen study master degree is 11K but foreigner is 22K, it is cheating..."
73717,2018-10-11 12:45:16 UTC,1,3,very interesting
73831,2018-10-11 16:15:11 UTC,2,3,""
74596,2018-10-13 15:21:02 UTC,1,3,""
74604,2018-10-13 16:00:22 UTC,2,3,""
74637,2018-10-13 17:48:49 UTC,2,3,""
74756,2018-10-14 05:01:10 UTC,1,3,""
74829,2018-10-14 10:41:41 UTC,2,2,""
75471,2018-10-15 12:55:43 UTC,1,3,""
75866,2018-10-15 22:22:38 UTC,1,3,I'm getting all the basics of cyber security.
78001,2018-10-20 10:07:50 UTC,2,1,""
80324,2018-10-24 11:19:03 UTC,2,3,""
80706,2018-10-25 05:44:52 UTC,1,3,"I like this course. Because, I learned many things about privacy and how to handle the privacy tool efficiently. "
80726,2018-10-25 07:05:46 UTC,2,3,""
80736,2018-10-25 07:46:49 UTC,1,3,""
80943,2018-10-25 15:36:35 UTC,2,3,""
81133,2018-10-26 03:12:44 UTC,1,3,""
82979,2018-10-29 19:48:09 UTC,2,3,"The style of the examples are good, i understand the concept"
83087,2018-10-29 22:31:23 UTC,2,3,""
84408,2018-11-01 12:56:53 UTC,1,3,""
84577,2018-11-01 19:05:58 UTC,1,3,""
